cluster,category,precision
843,autos_and_vehicles,1.0
842,travel,1.0
841,business,1.0
840,personal_or_auto-biographical,1.0
849,personal_or_auto-biographical,1.0
848,politics,1.0
1039,politics,1.0
753,personal_or_auto-biographical,1.0
752,autos_and_vehicles,0.5
751,educational,1.0
750,travel,1.0
757,art,1.0
756,art,1.0
755,videoblogging,1.0
754,health,1.0
759,videoblogging,1.0
758,comedy,1.0
506,art,1.0
1033,citizen_journalism,1.0
1030,default_category,1.0
1025,food_and_drink,1.0
1024,default_category,1.0
1027,default_category,1.0
1031,business,0.5
1021,politics,1.0
1020,religion,1.0
1023,conferences_and_other_events,0.3333333333333333
1022,food_and_drink,1.0
1036,default_category,1.0
1029,travel,1.0
1028,travel,1.0
1037,art,0.5
500,art,1.0
1035,music_and_entertainment,1.0
605,business,0.5
604,art,1.0
607,music_and_entertainment,1.0
606,autos_and_vehicles,0.5
601,religion,1.0
600,citizen_journalism,1.0
603,travel,1.0
602,conferences_and_other_events,1.0
1205,conferences_and_other_events,0.5
1204,conferences_and_other_events,1.0
1207,conferences_and_other_events,1.0
1206,conferences_and_other_events,0.6666666666666666
609,travel,1.0
1210,sports,1.0
1203,videoblogging,1.0
1202,conferences_and_other_events,0.5
1211,travel,1.0
1216,health,0.2857142857142857
635,business,0.3333333333333333
636,default_category,1.0
637,travel,1.0
1447,travel,1.0
